autori,titolo,edizione,luogo,editore,anno,formato
Berger P. L.,Homo Ridens - La dimensione comica dell'esperienza umana,1,Bologna,il Mulino,1999,cartaceo
Beri M.,Python ,1,Milano,Apogeo,2010,ebook
Berman M.,Tutto ciò che è solido svanisce nell'aria,2,Bologna,il Mulino,2012,cartaceo
Berto F.,L'esistenza non è logica,1,Roma - Bari,Laterza,2012,ebook
Berto F.,Logica da zero a Gödel,5,Roma - Bari,Laterza,2015,cartaceo
Bianchi L.,La gente,1,Roma,Edizioni minimum fax,2017,cartaceo
Boldrin M. e Levine D.,Abolire la proprietà intellettuale,1,Roma - Bari,Laterza,2012,ebook
Borges J. L.,Tutte le opere (volume primo),15,Milano,I Meridiani Mondadori,2001,cartaceo
Brown B.,Tetris,1,Modena,Panini 9L,2016,cartaceo
"Buchanan J., Tullock G.",Il calcolo del consenso,1,Bologna,il Mulino,1998,cartaceo
Busa R.,Rovesciando Babele,1,Milano,The Second Renaissance,2006,cartaceo
Bush V.,Manifesto per la rinascita di una nazione,1,Torino,Bollati Boringhieri,2013,ebook
"Busi G., Loewenthal E. (a cura di)",Mistica ebraica,1,Torino,Einaudi,1995,cartaceo
Byung-Chul H.,Razionalità digitale - la fine dell'agire collettivo,1,Firenze,goWare,2014,ebook
Camera A.,Startup marketing: strategie di growth hacking per svilupppare il vostro business,1,Milano,Ulrico Hoepli editore,2017,ebook
Canfora L.,Il papiro di Dongo,1,Milano,Adelphi,2005,cartaceo
Canfora L.,La democrazia,2,Roma - Bari,Laterza,2006,cartaceo
"Cantolla D., Díaz-Faes J.",Il Kung Fu per imprenditori del maestro Yan,1,Latina,Tunué,2015,cartaceo
Capra F.,Il Tao della fisica,13,Milano,Adelphi,2001,cartaceo
Capra F.,Il punto di svolta,13,Milano,Feltrinelli,2012,cartaceo
"Capra F., Luisi P. L.",Vita e natura una visione sistemica,1,Sansepolcro,Aboca Museum,2014,cartaceo
Carioti A. (a cura di),1917 Ottobre Rosso,1,Milano,RCS MediaGroup,2017,cartaceo
CEI ,Bibbia di Gerusalemme,1,Firenze,Edimedia,2014,ebook
Ceronetti G. ,Un viaggio in Italia,1,Torino,Einaudi,2014,ebook
Chesbrough H.,Open - modelli di business per l'innovazione,2,Milano,EGEA,2013,cartaceo
Chevallier J. J.,Le grandi opere del pensiero politico,2,Bologna,il Mulino,1998,cartaceo
Chiarenti F. ,Riflessioni e osservazioni sull'agricoltura toscana,1,Firenze,Edizioni Polistampa,2007,cartaceo
Chuang-Tzu,Il vero libro di Nan-hua,1,Milano,Mondadori,1998,cartaceo
Cipolla C.,Allegro ma non troppo,1,Bologna,il Mulino,1988,cartaceo
Cipolla C.,Istruzione e sviluppo,1,Bologna,il Mulino,2002,cartaceo
Cipolla C.,Introduzione alla storia economica,2,Bologna,il Mulino,2003,cartaceo
Cipolla C.,Storia economica dell'Europa pre-industriale,2,Bologna,il Mulino,2002,cartaceo
Cipolla C.,Storia facile dell'economia italiana dal Medioevo a oggi,1,Milano,Mondadori,1996,cartaceo
Cipolla C.,"Uomini, tecniche, economie",1,Bologna,il Mulino,2013,cartaceo
Clark J.,Designing for touch,1,New York,A Book Apart,2015,ebook
Clark K.,Il nudo - Uno studio della forma ideale,1,Vicenza,Neri Pozza,1995,cartaceo
Corradino M.,È normale... lo fanno tutti,1,Milano,Chiarelettere,2016,ebook
Cosenza V.,La società dei dati,1,Milano,Digitpub,2012,ebook
Coupland D.,Marshall McLuhan,1,Milano,Isbn Edizioni,2011,ebook
Crary J.,24/7 Il capitalismo all'assalto del sonno,1,Torino,Einaudi,2015,ebook
Cruschiform (Cruschi M.-L.),Colorama,1,Milano,L'ippocampo,2017,cartaceo
"Dal Maso C., Ripanti F. (a cura di)",Archeostorie,2,Milano,CISALPINO. Istituto Editoriale Universitario,2015,cartaceo
Dalla Pasqua C. F.,Il giornalista fantasma,1,Milano,Digitpub,2012,ebook
De Biase L.,Scienza delle conseguenze,1,Milano,Digitpub,2012,ebook
Debord G.,La società dello spettacolo,2,Roma,Stampa Alternativa/Nuovi Equilibri,2011,ebook
Deutsch D.,L'inizio dell'infinito,1,Torino,Einaudi,2013,ebook
Doctorow C.,Lockdown - L'imminente guerra civile per il computer universale,1,Milano,Apogeo,2013,ebook
Dorfles G.,Il divenire delle arti,4,Milano,Bompiani,2002,cartaceo
"Doxiadis A., Papadimitriou C. H.",Logicomix,1,Parma,Guanda Graphics,2010,cartaceo
Duckbill,Dottor assegnista ricercatore precario,1,Padova,BeccoGiallo,2015,cartaceo
Dumbill E.,Planning for Big Data,1,Sebastopol,O' Reilly Media,2012,ebook
Durell C. V.,La relatività con le quattro operazioni,2,Torino,Bollati Boringhieri,2000,cartaceo
Eggers D.,"I vostri padri dove sono? E i profeti, vivono forse per sempre?",1,Milano,Mondadori,2015,ebook
Einstein A.,Relatività: esposizione divulgativa,1,Torino,Bollati Boringhieri,2001,cartaceo
"Einstein A., Infeld L.",L'evoluzione della fisica,1,Torino,Bollati Boringhieri,1999,cartaceo
"Faini F., Pietropaoli S. ",Scienza giuridica e tecnologie informatiche,1,Torino,G. Giappichelli editore,2017,cartaceo
Falcinelli R.,Critica portatile al visual design,1,Torino,Einaudi,2014,cartaceo
Falcinelli R.,Guardare Pensare Progettare - Neuroscienze per il design,1,Viterbo,Stampa Alternativa,2014,cartaceo
Fama A. (a curda di),Open Data - Data Journalism. Trasparenza e informazione al servizio delle società nell'era digitale,1,Catania,Semplicissimus Book Farm srl,2011,ebook
Ferraro G.,Bambini in folosofia,1,Roma,Lit Edizioni,2015,cartaceo
Feynman R. P.,Sei pezzi facili,4,Milano,Adelphi,2002,cartaceo
Feynman R. P.,Il piacere di scoprire,1,Milano,Adelphi,2002,cartaceo
Feynman R. P.,QED,1,milano,Adelphi,1989,cartaceo
Feynman R. P.,Il senso delle cose,1,Milano,Adelphi,1999,cartaceo
Feynman R. P.,"«Sta scherzando, mr. Feynman!»",1,Bologna,Zanichelli,2001,cartaceo
Flaiano E. (Longoni A. a cura di),Opere Scelte,2,Milano,Adelphi,2013,cartaceo
Flora M. G. P.,Social TV: metodologie e metriche di analisi,1,Italia,Narcissus.me,2015,ebook
Florenskij P. A.,Le porte regali,10,Milano,Adelphi,2006,cartaceo
Florenskij P. A.,"Stratificazioni, scritti sull'arte e la tecnica",1,Parma,Edizioni Diabasis,2008,ebook
Floridi L.,La rivoluzione dell'informazione,1,Torino,Codice edizioni,2012,ebook
Foerster von H.,Sistemi che osservano,1,Roma,Astrolabio,1987,cartaceo
Fogg B. J.,Tecnologia della persuasione - Un'introduzione alla captologia,1,Milano,Apogeo,2005,cartaceo
Foucault M.,Eterotopia,1,Milano,Mimesis,2010,ebook
"Frediani C., Rizzato S., Ruffilli B., Russo M., Zanotti R.",Attacco ai pirati,1,Torino,La Stampa / 40k,2015,ebook
Fritscher J.,Robert Mapplethorpe - Fotografia a mano armata,1,Monza,Johan & Levi Editore,2016,cartaceo
Frugoni C.,La voce delle immagini - Pillole iconografiche del Medioevo,1,Torino,Einaudi,2010,cartaceo
Frye N.,Anatomia della critica,2,Torino,Einaudi,2000,cartaceo
Gaiman N.,American Gods,1,Milano,Mondadori,2014,ebook
Gaiman N.,Come si fa un lettore,1,Milano,RCS MediaGroup,2016,ebook
"Gamberini L., Chittaro L., Paternò F. (a cura di)",Human-Computer Interaction,1,Milano - Torino,Pearson Italia,2012,cartaceo
Garanzini G. ,Nereo Rocco: la leggenda del Paròn continua,1,Milano,Mondadori,2012,ebook
"Ghilardi M., Salerno I.",Giochi di ruolo - estetica e immaginario di un nuovo scenario giovanile,1,Latina,Tunué,2007,cartaceo
Gianotti C. (a cura di),La vita di Milarepa,1,Torino,UTET,2013,ebook
Giap V. N.,Masse armate ed esercito regolare,1,Roma,Sandro Teti Editore,2011,cartaceo
Ginzburg C.,Miti Emblemi Spie,2,Torino,Einaudi,1992,cartaceo
"Giorello G., Strata P. (a cura di)","L'automa spirituale - Menti, cervelli e computer",1,Roma - Bari,Laterza,1991,cartaceo
Godin S.,Siamo tutti strambi: la nuova era del marketing su misura (varia),1,Segrate,Sperling & Kupfer,2011,ebook
Godin S.,La mucca viola: farsi notare (e fare fortuna) in un mondo tutto marrone,1,Segrate,Sperling & Kupfer,2004,ebook
Goethe J. W. (trad. Fortini F.),Faust,7,Milano,I Meridiani Mondadori,1990,cartaceo
"Goldstein A., Lazaris L., Weyl E.",HTML5 & CSS3 for the real world,2,Collingwood,SitePoint,2015,ebook
Gorz A.,L'immateriale,1,Torino,Bollati Boringhieri,2003,cartaceo
Grandi P.,Pixar story ,1,Milano,Ulrico Hoepli editore,2014,ebook
Gualdoni F.,Piero Manzoni - Vita d'artista,1,Monza,Johan & Levi Editore,2013,cartaceo
Guercio M.,Archivistica informatica,2,Roma ,Carocci Editore,2010,cartaceo
Guerrera S.,Mai 'na gioia,1,Milano,BUR Rizzoli,2015,cartaceo
"Gupta G, Libby A., Talesra A.",Responsive Web Design with HTML5 and CSS3 Essentials,1,Birmingham,Packt Publishing,2016,ebook
Harari Y. N.,Sapiens,1,Firenze,Bompiani,2014,cartaceo
Harari Y. N.,Homo Deus,1,Milano,Bompiani,2017,cartaceo
Harvey D.,Città ribelli,1,Milano,il Saggiatore,2013,ebook
Hauser A. ,Sociologia dell'Arte I. Teoria generale,1,Torino,Einaudi,1977,cartaceo
Hauser A. ,Sociologia dell'Arte II. Dialettica del creare e del fruire,1,Torino,Einaudi,1977,cartaceo
Hauser A. ,"Sociologia dell'Arte III. Arte popolare, di massa e d'avanguardia",1,Torino,Einaudi,1977,cartaceo
"Hess C., Ostrom E. (a cura di)",La conoscenza come bene comune,1,Milano,Pearson Paravia Bruno Mondadori,2009,cartaceo
Hofstadter D. R.,"Gödel, Esher, Bach: un'Eterna Ghirlanda Brillante",7,Milano,Adelphi,2001,cartaceo
Hofstadter D. R.,Concetti fluidi e analogie creative,1,Milano,Adelphi,1996,cartaceo
"Hölldobler B., Wilson E. O.",Formiche - Storia di un'esplorazione scientifica,4,Milano,Adelphi,2012,cartaceo
Jenkins H.,Cultura divergente,1,Milano,Apogeo,2007,cartaceo
Kahneman D.,Pensieri lenti e veloci,1,Milano,Mondadori,2012,ebook
Kaplan R. ,Zero - Storia di una cifra,1,Milano,BUR Rizzoli,2001,cartaceo
"Karvinen K., Karvinen T., Valtokari V.",Make: Sensors,1,Sebastopol,O' Reilly Media,2014,ebook
Kauffman S.,"Reinventare il sacro - Una nuova concenzione della scienza, della ragione e della religione",1,Torino,Codice edizioni,2010,ebook
Kawabata Y.,Romanzi e racconti,1,Milano,I Meridiani Mondadori,2003,cartaceo
KCity,Demix - Atlante delle periferie funzionali metropolitane,1,Roma,Ministero dei beni e delle attività culturali e del turismo,2017,cartaceo
Kelly K.,Quello che vuole la tecnologia,1,Torino,Codice edizioni,2011,ebook
Kenkō,Ore d'ozio,1,Milano,SE,1995,cartaceo
Klee P.,Diari 1898 - 1918,1,Milano,il Saggiatore,1997,cartaceo
Kleist R.,Nick Cave,1,Milano,BAO Publishing,2017,cartaceo
Kolossa A. (a cura di),Haring,1,Colonia ,Taschen,2016,cartaceo
Kraus K.,Essere uomini è uno sbaglio,1,Torino,Einaudi,2015,ebook
Kuhn T.,La struttura delle rivoluzioni scientifiche,5,Torino,Einaudi,2009,cartaceo
Kurzweil R.,La singolarità è vicina,1,Santarcangelo di Romagna ,Maggioli Editore,2014,cartaceo
Kurzweil R.,Come creare una mente - I segreti del pensiero umano,1,Milano,Apogeo,2013,cartaceo
Lakoff G.,Pensiero politico e scienza della mente,1,Milano,Pearson Paravia Bruno Mondadori,2009,cartaceo
Le Goff J. (a cura di),L'uomo medievale,1,Roma - Bari,Laterza,2014,ebook
"Lederman L. M., Hill C. T.",Fisica quantistica per poeti,1,Torino,Bollati Boringhieri,2013,cartaceo
Lee A.,Il Rinascimento cattivo,1,Milano,Bompiani,2016,ebook
Lee S.,La trilogia del limite,1,Mantova,Corraini,2012,cartaceo
Lewis C. S.,Cronache di Narnia,1,Milano,Mondolibri,2006,cartaceo
Lewis R.,Il più grande uomo scimmia del Pleistocene,14,Milano,Adelphi,2012,cartaceo
"Liang Q., Xiangsui W.",Guerra senza limiti,1,Gorizia,LEG Edizioni,2016,cartaceo
Lih A.,La rivoluzione di Wikipedia,1,Torino,Codice edizioni,2010,ebook
Lima M.,The book of trees,1,New York,Princeton Architectural Press,2014,cartaceo
Limes - USA - Germania duello per l'Europa (,Haiku e saké,1,Torino,add editore,2016,ebook
Lindley D,Incertezza,1,Torino,Einaudi,2007,cartaceo
Liviano D'Arcangelo G.,Invisibile è la tua vera patria - reportage dal declino: luoghi e vite dell'industria italiana che non c'è più,1,Milano,il Saggiatore,2013,ebook
Loewenthal E. (a cura di),Fiabe ebraiche,1,Torino,Einaudi,2003,cartaceo
Longanesi L.,La sua signora,1,Milano,Longanesi,2017,ebook
Longanesi L.,Parliamo dell'elefante,1,Milano,Longanesi,2017,ebook
Longhi R. (Contini G. a cura di),Da Cimabue a Morandi,1,Milano,I Meridiani Mondadori,1973,cartaceo
Loos A. ,Parole nel vuoto,1,Milano,Adelphi,1992,cartaceo
Lotman J. M.,La Cultura come Mente Collettiva e i problemi dell'intelligenza artificiale,1,Rimini,Guaraldi,2014,ebook
Loukides M.,What is DevOps?,1,Sebastopol,O' Reilly Media,2012,ebook
Lovink G.,Ossessioni collettive,1,Milano,EGEA,2012,ebook
Lowry M. ,Il mondo di Aldo Manuzio - Affari e cultura nella Venezia del Rinascimento,2,Roma,Il Veltro,2000,cartaceo
Lucrezio,La natura delle cose,1,Milano,Feltrinelli,2015,cartaceo
Macchiavelli N. (Dotti U. a cura di),Il Principe,1,Milano,Feltrinelli,1991,cartaceo
Madariaga de S.,L'impero di Carlo V,1,Milano,Edizioni Res Gestae,2015,cartaceo
Magi G. (a cura di),I 36 stratagemmi,3,Vicenza,Il Punto d'Incontro,2010,ebook
Makkox,Se muori siamo pari,1,Milano,BAO Publishing,2011,cartaceo
Makkox,Ladolescenza,1,Milano,BAO Publishing,2011,cartaceo
Malevič K.,Suprematismo,1,Milano,Abscondita,2000,cartaceo
Mancuso V.,Obbedienza e libertà,2,Roma,Fazi editore,2012,ebook
Marazzini C. (a cura di),L'editoria italiana nell'era digitale,1,Firenze,Accademia della Crusca - goWare,2014,ebook
Marcadé B.,Marcel Duchamp - La vita a credito ,1,Monza,Johan & Levi Editore,2009,cartaceo
Mari E.,25 modi per piantare un chiodo,1,Milano,Mondadori,2011,ebook
Maruzzi S.,La fine dell'era del buon senso,1,Milano,Digitpub,2012,ebook
Miceli S.,Futuro artigiano: l'innovazione nelle mani degli italiani,1,Venezia,Marsilio,2011,ebook
Miglieruolo M. A.,Dio è atterrato,1,Milano,Delos Digital,2008,ebook
Miles B.,Frank Zappa,2,Milano,Feltrinelli,2008,cartaceo
"Millar M., Romita J. jr",Kick-Ass: spacca,1,Modena,Panini Comics,2009,cartaceo
"Millar M., Romita J. jr",Kick-Ass: Ombre rosse,1,Modena,Panini Comics,2010,cartaceo
"Miller F., Varley L.",Batman: il Cavaliere Oscuro colpisce ancora,1,Barcellona,Planeta DeAgostini,2006,cartaceo
"Miller F., Varley L., Janson K.",Batman: il ritorno del Cavaliere oscuro,1,Barcellona,Planeta DeAgostini,2006,cartaceo
Mondzian M.-J.,Immagine Icona Economia,1,Milano,Jaca Book,2006,cartaceo
Monella Montalto L.,Real-Time Journalism - il Futuro della Notizia tra Liveblog e Coinvolgiment,1,Riccione,Informant,2013,ebook
"Moore A., Gibbons D., Higgins J.",Watchmen,3,Barcellona,Planeta DeAgostini,2009,cartaceo
Morbiato L. (a cura di),Scartafaccio di agricoltura - manoscritto di un contadino di Spinè di Oderzo (1805-1810),1,Vicenza,Neri Pozza Editore,1998,cartaceo
Munari B.,Disegnare un albero,1,Mantova,Corraini,2004,cartaceo
Munari B.,Da cosa nasce cosa,22,Roma - Bari,Laterza,2017,cartaceo
Munari B.,Fantasi,30,Roma - Bari,Laterza,2017,cartaceo
Murakami H.,L'arte di correre,2,Torino,Einaudi,2012,cartaceo
Naím M.,La fine del potere,1,Milano,Mondadori,2013,ebook
"Natalini R., Plazzi A.",Comics & Science,1,Roma,CNR Edizioni ,2014,cartaceo
Neutra R. J.,Progettare per sopravvivere,1,Roma / Ivrea,Edizioni di Comunità ,1956,cartaceo
"Nielsen J., Pernice K.",Eyetracking Web Usability,1,Milano - Torino,Pearson Italia,2011,cartaceo
Norman D. A.,La caffettiera del masochista,1,Milano,Giunti ,2005,cartaceo
Nugent B.,Storia naturale del nerd,1,Milano,Isbn Edizioni,2011,ebook
Nuti L.,Cartografie senza carte,1,Milano,Jaca Book,2008,cartaceo
O' Neil K.,Armi di distruzione matematica,1,Milano,Bompiani,2017,cartaceo
Ochetto V.,Adriano Olivetti,1,Roma / Ivrea,Edizioni di Comunità ,2015,cartaceo
Odifreddi P.,Il diavolo in cattedra,8,Torino,Einaudi,2008,cartaceo
Odifreddi P.,"Penna, pennello e bacchetta",1,Roma - Bari,Laterza,2005,cartaceo
Odifreddi P.,Il computer di Dio,1,Milano,Raffaello Cortina Editore,2000,cartaceo
Okakura K.,Lo zen e la cerimonia del tè,1,Milano,SE,1993,cartaceo
Olivetti A.,Ai lavoratori,1,Roma / Ivrea,Edizioni di Comunità ,2012,cartaceo
Olivetti A.,Democrazia senza partiti,1,Roma / Ivrea,Edizioni di Comunità ,2013,cartaceo
Olivetti A.,Il cammino della Comunità,1,Roma / Ivrea,Edizioni di Comunità ,2013,cartaceo
Olivetti A.,Il mondo che nasce,1,Roma / Ivrea,Edizioni di Comunità ,2013,cartaceo
Orazio,Satire,3,Milano,Feltrinelli,2017,cartaceo
"Orwel G., Gregori G. (illustratore)",La fattoria degli animali,1,Milano,Olivetti,1947,cartaceo
"Osterwalder A., Pigneur Y.",Creare modelli di business,1,Milano,Edizioni FAG,2012,cartaceo
Ostrom E.,Governare i beni collettivi,1,Venezia,Marsilio,2006,cartaceo
"Pais I., Peretti P e Spinelli C.",Crowfunding,1,Milano,EGEA,2014,ebook
Palahniuk C.,Fight Club,1,Milano,Mondadori,2008,cartaceo
Papa R.,Leonardo teologo,1,Milano,Ancora editrice,2006,cartaceo
Papa R.,"La ""scienza della pittura"" di Leonardo - Analisi del ""Libro di pittura""",1,Milano,Edizioni Medusa,2005,cartaceo
Parella B. e Zanni A. (a cura di),AAron Swartz - una vita per la cultura libera e la giustizia sociale,2,Italia,http://aaronswartztributo.tumblr.com/,2014,ebook
Parkinson C. N.,La legge di Parkinson,1,Pescara,Monti & Ambrosini,2014,ebook
Pascutti D.,Pop Economix,1,Padova,BeccoGiallo,2013,cartaceo
Paternoster A.,Introduzione alla filosofia della mente,1,Roma - Bari,Laterza,2014,ebook
Pavone S. ,I gesuiti dalle origini alla soppressione,1,Roma - Bari,Laterza,2015,ebook
"Pearson S. H., Stacey P.",Made With Creative Commons,1,Copenhagen,Crtl+Alt+Delete Books,2017,ebook
Péguy C.,Lui è qui,1,Milano,BUR Rizzoli,2012,ebook
Perotto P. G.,P101,1,Roma / Ivrea,Edizioni di Comunità ,2015,cartaceo
Perrella C. (edited by),Francesco Vezzoli,1,Milano,Rizzoli,2016,cartaceo
Pevsner N.,Storia dell'architettura europea,2,Roma - Bari,Laterza,1993,cartaceo
Picasso P. (De Micheli M. a cura di),Scritti,1,Milano,SE ,1998,cartaceo
Piskor E.,Wizziwyg,1,Modena,Panini 9L,2014,cartaceo
Pizzi M. ,Frank Zappa for president!,1,Vicenza,Wannaboo,2015,ebook
"Pizzo G., Tagliavini G. (a cura di)",Dizionario di microfinanza,1,Roma,Carocci Editore,2013,cartaceo
Ponti M.,"Sola andata: trasporti, grandi opere e spese pubbliche senza ritorno",1,Milano,EGEA,2017,ebook
"Popper K. R., Antiseri D. (a cura di)",Logica della ricerca aperta,1,Brescia,Editrice La Scuola,2013,ebook
Porter L.,Blue Trane. La vita e la musica di John Coltrane,2,Roma,Edizioni minumum fax,2015,cartaceo
Potok C.,Il mio nome è Asher Lev,2,Milano,Garzanti,1998,cartaceo
Potok C.,Il dono di Asher Lev,2,Milano,Garzanti,1999,cartaceo
Pratellesi M. e Luna R. (a cura di),Social Winner: come la rete ha giocato un ruolo decisivo nelle elezioni 2013,1,Milano,il Saggiatore,2013,ebook
Praz M. (Cane A. a cura di),Bellezza e Bizzarria,3,Milano,I Meridiani Mondadori,2009,cartaceo
Pullman P.,Queste oscure materie,1,Milano,Mondolibri,2009,cartaceo
Rak M.,Logica della fiaba,1,Milano,Pearson Paravia Bruno Mondadori,2010,cartaceo
Ravasi G. (traduzione e commento di),giobbe,3,Roma,Borla,1991,cartaceo
Rifkin J.,La società a costo marginale,1,Milano,Mondadori,2015,ebook
Rodari G.,Grammatica della fantasia,2,Torino,Einaudi,2013,cartaceo
Rosolo G. Z.,"I laudi delle Regole di Candide, Lorenzago e San Vito in Cadore",1,Belluno,Istituto Bellunese di Ricerche Sociali e Culturali,2013,cartaceo
Rossitto M.,Non solo filastrocche -Rodari e la letteratura del Novecento,1,Roma,Bulzoni,2011,cartaceo
Rosso M. (Mola P. a cura di),La forma instabile,1,Ginevra - Roma,Skira,2007,cartaceo
Rothko M.,Scritti sull'arte,1,Roma,Donzelli,2007,cartaceo
Ruggeri R.,America: un romanzo gotico,1,Venezia,Marsilio,2017,ebook
Russel B.,"I principi della matem,atica",1,Milano,Longanesi,1998,cartaceo
Russel B.,L'ABC della relatività,1,Milano,TEA,1997,cartaceo
Russo L. (a cura di),Vedere l'invisibile (Nicea e lo statuto dell'Immagine),1,Palermo,Aesthetica edizioni,1997,cartaceo
Saba U.,Il Canzoniere,1,Torino,Einaudi,2014,ebook
Sandel M. J.,Quello che i soldi non possono comprare,1,Milano,Feltrinelli,2015,ebook
Santoro P. L.,I giornali del futuro Il futuro dei giornali,1,Riccione,Informant,2015,ebook
Saramago J.,Saggio sulla lucidità,1,Torino,Einaudi,2004,cartaceo
Saramago J.,Il vangelo secondo Gesù Cristo,10,Torino,Einaudi,2007,cartaceo
Saramago J.,Manuale di pittura e calligrafia,1,Milano,Feltrinelli,2011,cartaceo
Sartre J.-P.,L'essere e il nulla ,1,Milano,NET,2003,cartaceo
Schiffrin A.,Il denaro e le parole,1,Roma,Voland,2010,cartaceo
Schweidler W.,Il concetto di filosofia in Wittgenstein,1,Firenze,Le Càriti Editore,2004,cartaceo
Seminerio M.,La cura letale,1,Milano,BUR,2012,ebook
Sennet R.,"Insieme: rituali, piaceri, politiche della collaborazione",1,Milano,Feltrinelli,2014,ebook
Serafini F.,Questo è il punto: istruzioni per l'uso della punteggiatura,1,Roma - Bari,Laterza,2012,ebook
Serianni L.,"Leggere, scrivere, argomentare",1,Roma - Bari,Laterza,2013,ebook
Sgalambro M.,Trattato dell'empietà,1,Milano,Adelphi,1987,cartaceo
Sgarzi B.,"Twitter, news e comunicazione",1,Milano,Digitpub,2012,ebook
Sgobba A.,? - Il paradosso dell'ignoranza da Socrate a Google,1,Milano,il Saggiatore,2017,cartaceo
Shanower E.,L'eta del Bronzo - Mille navi (1),1,Ariccia,MagicPress edizioni,2015,cartaceo
Shanower E.,L'eta del Bronzo - Sacrificio (2),1,Ariccia,MagicPress edizioni,2015,cartaceo
Shanower E.,L'età del Bronzo - Tradimento (3a),1,Ariccia,MagicPress edizioni,2015,cartaceo
Shanower E.,L'età del Bronzo - Sangue (3ab),1,Ariccia,MagicPress edizioni,2015,cartaceo
Shirky C.,Surplu cognitivo,1,Torino,Codice edizioni,2010,ebook
Shove G. (a cura di),Bansky - siete una minaccia di livello accettabile,1,Milano,L'ippocampo,2016,cartaceo
Simmel G.,Rembrandt - Un saggio sulla filosofia dell'arte,1,Milano,Abscondita,2001,cartaceo
Simonetta B.,Enne - La nuova criminalità invisibile 2.0,1,Milano,Rizzoli,2014,ebook
Simonetti M.,Slangopedia - Dizionario dei gerghi giovanili,1,Viterbo,Stampa Alternativa,2015,cartaceo
Sofocle,Edipo Re,5,Milano,Feltrinelli,1997,cartaceo
Spadaro A.,Cyberteologia,1,Milano,Vita e Pensiero,2012,ebook
Spiegelman A.,Maus,1,Torino,Einaudi,2000,cartaceo
Spinoza B. (a cura di Cantoni R. e Ferragni F.),Etica e trattato teologico-politico,1,Novara,UTET,2013,ebook
Stella G. A.,Schei,1,Milano,Mondadori,2000,cartaceo
Sto,Storie di cantastorie,1,Milano,Adelphi,1992,cartaceo
Sun Tzu,L'arte della guerra,8,Roma,Newton Compton,2011,cartaceo
Sutherland J.,Fare il doppio in metà tempo,1,Milano,Rizzoli Etas,2015,ebook
Sutter de L.,Metafisica della puttana,1,Macerata,Giometti & Antonello,2017,cartaceo
Sweigart A.,Automate the boring stuff with Python,1,San Francisco,No Starch Press,2015,ebook
Sylvester D.,Interviste a Francis Bacon,1,Ginevra - Roma,Skira,2003,cartaceo
Tagliagambe S.,Florenskij,1,Milano,Bompiani,2006,cartaceo
"Taniguchi J., Furuyama K.",Il libro del vento,1,Modena,Panini Comics,2016,cartaceo
Tatsumi Y.,Una vita tra i margini,1,Milano,BAO Publishing,2012,cartaceo
Tavassi G.,Storia dell'animazione giapponese,1,Latina,Tunué,2012,cartaceo
Tavčar S.,"La Jugoslavia, il Basket e un telecronista",1,Lecce,Youcanprint,2014,ebook
Tegmark M.,L'universo matematico,2,Torino,Bollati Boringhieri,2014,cartaceo
Tempest K.,Let them eat chaos,1,Roma,Edizioni e/o,2017,cartaceo
